Carrier,carrier_clustered
ANL SINGAPORE PTE LTD,ANL SINGAPORE PTE LTD
SAVINO DEL BENE USA INC,SAVINO DEL BENE DO BRASIL
DEWELL CONTAINER SHIPPING,DE WELL CONTAINER SHIPPING CORP
HONOUR LANE SHIPPING LTD,HONOUR LANE SHIPPING LTD
TOPOCEAN CONSOLIDATION SERVICE (LOS ANGELES) INC,TOPOCEAN CONSOLIDATION SERVICE (LOS ANGELES) INC
CHINA INTERNATIONAL FREIGHT CO LTD,CHINA INTERNATIONAL FREIGHT CO LTD
NIPPON EXPRESS U S A (ILLINOIS) INC,NIPPON EXPRESS CO LTD
UPS ASIA GROUP PTE LTD,UPS ASIA GROUP PTE LTD
GRIEG STAR SHIPPING AS (OPEN HATCH DIVISION),GRIEG STAR SHIPPING AS (OPEN HATCH DIVISION)
CAESAR INTERNATIONAL LOGISTICS CO LTD,CAESAR INTERNATIONAL LOGISTICS CO LTD
BRITISH AMERICAN SHIPPING LLC,BRITISH AMERICAN SHIPPING LLC
"GERLACH, F C & CO INC","GERLACH, F C & CO INC"
FAMOUS PACIFIC SHIPPING KOREA LTD,FAMOUS PACIFIC SHIPPING (HK) LTD
SUMMIT LOGISTICS INTERNATIONAL,SUMMIT LOGISTICS INTERNATIONAL
HYUNDAI LOGISTICS CO LTD,HYUNDAI LOGISTICS CO LTD
LOTTE GLOBAL LOGISTICS CO LTD,LOTTE GLOBAL LOGISTICS CO LTD
GREEN GLOBE LINE CO LTD,GREEN GLOBE LINE CO LTD
ASIAN LINK LOGISTICS LLC,ASIAN LINK LOGISTICS LLC
LEO GLOBAL LOGISTICS CO LTD,LEO GLOBAL LOGISTICS CO LTD
DIMERCO EXPRESS (USA) CORP,DIMERCO EXPRESS (USA) CORP
MAINFREIGHT INC,MAINFREIGHT INC
ATLAS LINE,ATLAS LINE
GLOBAL OCEAN AGENCY LINES LLC,GLOBAL OCEAN AGENCY LINES LLC
NOBLE GROUP LIMITED,NOBLE GROUP LIMITED
WORLDWIDE LOGISTICS LTD (WORLDWIDE OCEAN LINE WORLDWIDE LOGISTICS (USA)),WORLDWIDE LOGISTICS (INDIA) PVT LTD
APL LOGISTICS,APL LOGISTICS
NEPTUNE SHIPPING LIMITED,NEPTUNE SHIPPING LIMITED
EVERIGHT LOGISTICS CO LTD,EVERIGHT LOGISTICS CO LTD
CJ LOGISTICS CORPORATION,CJ LOGISTICS CORPORATION
KINGWOOD LOGISTICS LTD,KINGWOOD LOGISTICS LTD
PAIRS TRUCKING,PAIRS TRUCKING
QINGDAO JET MARINE LOGISTICS CO LTD,QINGDAO JET MARINE LOGISTICS CO LTD
UP SWING AGENCY LTD,UP SWING AGENCY LTD
HELKA GLOBAL LOGISTICS LTD,HELKA GLOBAL LOGISTICS LTD
US UNITED LOGISTICS (NINGBO) INC,US UNITED LOGISTICS (NINGBO) INC
BDP TRANSPORT LLC,BDP TRANSPORT LLC
SINO CONNECTIONS LOGISTICS INC,SINO CONNECTIONS LOGISTICS INC
ORIENT STAR TRANSPORT INTL LTD,ORIENT STAR LOGIX CO LTD
KAMINO INTERNATIONAL TRANSPORT INC,KAMINO INTERNATIONAL TRANSPORT INC
PACIFIC STAR EXPRESS (CHINA) CO LTD,PACIFIC STAR EXPRESS (CHINA) CO LTD
OOCL LOGISTICS LINE LIMITED,OOCL LOGISTICS LINE LIMITED
INDIA MARITIME AGENCY LLC,INDIA MARITIME AGENCY LLC
UNIPAC SHIPPING INC,UNIPAC SHIPPING INC
ARCHITECTURAL METALCRAFT INDUSTRIES LTD,ARCHITECTURAL METALCRAFT INDUSTRIES LTD
WOODLAND GROUP EXPRESS INC,WOODLAND GROUP EXPRESS INC
BLUE CARGO GROUP LLC (BLU LOGISTICS),BLUE CARGO GROUP LLC (BLU LOGISTICS)
FCC LOGISTICS INC,FCC LOGISTICS INC
NAURI LOGISTICS CO LTD,NAURI LOGISTICS CO LTD
TRANSMODAL CORPORATION,TRANSMODAL CORPORATION
VANTEC HTS FORWARDING LTD,VANTEC HTS FORWARDING LTD
WORLDWIDE LOGISTICS CO LTD,WORLDWIDE LOGISTICS (INDIA) PVT LTD
SEA HORSE CONTAINER LINES INC,SEA HORSE CONTAINER LINES INC
PUDONG PRIME INTL LOGISTICS INC,PUDONG PRIME INTL LOGISTICS INC
ALLIANCE INTERNATIONAL,ALLIANCE INTERNATIONAL
TRANSLINK SHIPPING INC,TRANSLINK INTERNATIONAL (OVERSEAS) LTD
SOUTH AMERICAN INDEPENDENT LINE,SOUTH AMERICAN INDEPENDENT LINE
KAIYUAN SHIPPING CO LTD,KAIYUAN SHIPPING CO LTD
AERO LOGISTICS LTD,AERO LOGISTICS LTD
AMAZON CHINA AMAZON.CN AMAZON GLOBAL LOGISTICS CHINA,AMAZON CHINA AMAZON.CN AMAZON GLOBAL LOGISTICS CHINA
LIBERTY GLOBAL LOGISTICS INC,LIBERTY GLOBAL LOGISTICS INC
UNSWORTH,UNSWORTH
ALBINI & PITIGLIANI SPA,ALBINI & PITIGLIANI SPA
ARIES GLOBAL LOGISTICS INC,ARIES GLOBAL LOGISTICS INC
ECU-LINE LTD,ECU-LINE LTD
C V INTERNATIONAL INC,C V INTERNATIONAL INC
BARSAN GLOBAL LOGISTICS INC,BARSAN GLOBAL LOGISTICS INC
COMBI LINE INTERNATIONAL SPA,COMBI LINE INTERNATIONAL SPA
VISTA LINES,VISTA LINES
O T S SPA,O T S SPA
SUMITRANS CORPORATION,SUMITRANS CORPORATION
SUMISHO GLOBAL LOGISTICS (USA) CORPORATION,SUMISHO GLOBAL LOGISTICS (USA) CORPORATION
NACA,NACA
CARDINAL MARITIME LTD,CARDINAL MARITIME LIMITED
"BDP TRANSPORT, INC",BDP TRANSPORT LLC
TUSCOR LLOYDS UK LTD,TUSCOR LLOYDS UK LTD
ALLIANCE SHIPPING LONDON,ALLIANCE SHIPPING LONDON
OCEAN WORLD LINES,OCEAN WORLD LINES
PINNACLE WORLD TRANSPORT PTE LTD,PINNACLE WORLD TRANSPORT PTE LTD
CDS GROUP HOLDINGS LIMITED,CDS GROUP HOLDINGS LIMITED
GLOBAL FORWARDING LTD,GLOBAL FORWARDING LTD
NORASIA CONTAINER LINES LIMITED,NORASIA CONTAINER LINES LIMITED
SPIN FREIGHT SERVICES INC,SPIN FREIGHT SERVICES INC
FREIGHT EXPEDITERS,FREIGHT EXPEDITERS
COMPANIA CHILENA DE NAVIGACION INTEROCEA,COMPANIA CHILENA DE NAVIGACION INTEROCEA
PACIFIC STAR EXPRESS CORP,PACIFIC STAR EXPRESS (CHINA) CO LTD
CHARTER LINK LOGISTICS LIMITED,CHARTER LINK LOGISTICS LIMITED
ALIANCA NAVEGACAO & LOGISTICA LTDA,ALIANCA NAVEGACAO & LOGISTICA LTDA
CITY OCEAN LOGISTICS CO LTD,CITY OCEAN LOGISTICS CO LTD
ZEN CONTINENTAL CO INC,CHINA CONTAINER LINE LTD
KRIEGER SEASERVICES,KRIEGER SEASERVICES
NISSAN MOTOR CAR CARRIER CO LTD,NISSAN MOTOR CAR CARRIER CO LTD
WORLDBRIDGE LOGISTICS INC,WORLD BRIDGE LOGISTICS CO LTD
DONG JOO INTERNATIONAL SHIPPING CO LTD,DONG JOO INTERNATIONAL SHIPPING CO LTD
SE JUNG SHIPPING CO LTD,SE JUNG SHIPPING CO LTD
ECU LINE,ECU LINE
CENTRAL SHIPPING AGENCY SPA,CENTRAL SHIPPING AGENCY SPA
TEAM TANKERS INTERNATIONAL LTD,TEAM TANKERS INTERNATIONAL LTD
KOYO KAIUN CO LTD,KOYO KAIUN CO LTD
STOLT TANKERS BV,STOLT TANKERS BV
NAVIG8 PTE LTD,NAVIG8 PTE LTD
MT MARITIME MANAGEMENT (USA) LLC,MT MARITIME MANAGEMENT (USA) LLC
CMB NV,CMB NV
FREIGHT SYSTEMS INC,FREIGHT SYSTEMS INC
FPS FAMOUS PACIFIC SHIPPING B V,FPS FAMOUS PACIFIC SHIPPING B V
ATA FREIGHT LINE LTD,ATA FREIGHT LINE LTD
MALLORY TRANSPORTATION,MALLORY TRANSPORTATION
DART GLOBAL LOGISTICS,DART GLOBAL LOGISTICS
MARFRET CONTAINER LINES,MARFRET CONTAINER LINES
C P WORLD LLC,C P WORLD LLC
TANDEM GLOBAL LOGISTICS,TANDEM GLOBAL LOGISTICS
ALPI AIR & SEA,ALPI AIR & SEA
GRUDEN USA INC,GRUDEN USA INC
ITALSEMPIONE SPA,ITALSEMPIONE SPA
ARIMAR INTERNATIONAL SPA,ARIMAR INTERNATIONAL SPA
SEAFAIR USA,SEAFAIR USA
"COPPERSMITH, L E INC","COPPERSMITH, L E INC"
OCEANAIR INC,OCEANAIR INC
GRIMALDI GROUP S P A,GRIMALDI GROUP S P A
INARME,INARME
CHINA SHIPPING CONTAINER LINES (HONG KONG) CO LTD,CHINA SHIPPING CONTAINER LINES (HONG KONG) CO LTD
TURKON CONTAINER TRANSPORTATION & SHIPPING,TURKON CONTAINER TRANSPORTATION & SHIPPING
ALPI AIR AND SEA  A/S,ALPI AIR AND SEA  A/S
EXPRESS CONSOLIDATION SYSTEMS CORP,EXPRESS CONSOLIDATION SYSTEMS CORP
KLN CONTAINER LINE LIMITED,KLN CONTAINER LINE LIMITED
D B GROUP AMERICA LTD,D B GROUP AMERICA LTD
RIF WORLDWIDE PLC,RIF WORLDWIDE PLC
DANESI SPEDIZIONI S R L,DANESI SPEDIZIONI S R L
CARNIVAL PLC (U.K.),CARNIVAL PLC (U.K.)
AIR AND CARGO SERVICE INC,AIR AND CARGO SERVICE INC
SAFMARINE CONTAINER LINES (HEREINAFTER SAFMARINE),SAFMARINE CONTAINER LINES
TIER ONE LOGISTICS,TIER ONE LOGISTICS
SEAWAY INTERNATIONAL INC,SEAWAY INTERNATIONAL INC
MAXWORLD LOGISTICS INC,MAXWORLD LOGISTICS INC
RS LOGISTICS LIMITED.,RS LOGISTICS LIMITED.
MEADOWS WYE & CO INC,MEADOWS WYE & CO INC
SEKO WORLDWIDE,SEKO WORLDWIDE
ZODIAC IMPEX INC,ZODIAC IMPEX INC
HANSEATIC CONTAINER LINE LTD,HANSEATIC CONTAINER LINE LTD
ACS LINES,A S C LINES
SWIFT GLOBAL LINE,SWIFT GLOBAL LINE
CARGO ALLIANCE SERVICE,CARGO ALLIANCE INC
BERMUDA CONTAINER LINE LTD,BERMUDA CONTAINER LINE LTD
WIDER LOGISTICS LIMITED,WIDER LOGISTICS LIMITED
SEABOARD MARINE LTD,SEABOARD MARINE LTD
TRANSFREIGHT EXPRESS LINES,TRANS BORDER GLOBAL FREIGHT SYSTEMS INC
D'AMICO TANKERS DESIGNATED ACTIVITY COMPANY (D'AMICO TANKERS D A C),D'AMICO TANKERS DESIGNATED ACTIVITY COMPANY (D AMICO TANKERS D A C)
PRIME SHIPPING INTERNATIONAL INC,PRIME SHIPPING INTERNATIONAL INC
NIPPON EXPRESS CO LTD,NIPPON EXPRESS CO LTD
AUSTROMAR OBCHODNI A DOPRAVNI SPOL S R O,AUSTROMAR OBCHODNI A DOPRAVNI SPOL S R O
MTS LOGISTICS INC,MTS LOGISTICS INC
GLOBAL LOGISTICS ASSOCIATES,GLOBAL LOGISTICS ASSOCIATES
KODAI COMPANY LTD,KODAI COMPANY LTD
FOCUS SHIPPING CORP,FOCUS SHIPPING CORP
DFF INC,DFF INC
PUERTO RICO FREIGHT SYSTEM INC,PUERTO RICO FREIGHT SYSTEM INC
CROWLEY CARIBBEAN LOGISTICS LLC,CROWLEY CARIBBEAN LOGISTICS LLC
COMPANIA SUD AMERICANA DE VAPORES S A,COMPANIA SUD AMERICANA DE VAPORES S A
TROPICAL SHIPPING & CONSTRUCTION CO,TROPICAL SHIPPING & CONSTRUCTION CO
DOLE OCEAN CARGO EXPRESS,DOLE OCEAN CARGO EXPRESS
COLUMBIA SHIPMANAGEMENT LTD,COLUMBIA SHIPMANAGEMENT LTD
SOREIDOM,SOREIDOM
SAVINO DEL BENE DO BRASIL,SAVINO DEL BENE DO BRASIL
6DUNAVANT LOGISTICS GROUP LLC,DUNAVANT LOGISTICS GROUP LLC
SEABOARD OVERSEAS LTD,SEABOARD OVERSEAS LTD
ETH CARGO SERVICES INC,ETH CARGO SERVICES INC
ECONOCARIBE CONSOLIDATORS INC,ECONOCARIBE CONSOLIDATORS INC
P O SHIPPING,P O SHIPPING
DELCON LINE (USA) INC,DELCON LINE (USA) INC
KENTRA INTERNATIONAL SERVICES CORP,KENTRA INTERNATIONAL SERVICES CORP
INTERGLOBO NORTH AMERICA INC,INTERGLOBAL SHIPPING 3001 LTD
PACIFIC LINK INTL FREIGHT FORWARDING CO LTD,PACIFIC LINK INTL FREIGHT FORWARDING CO LTD
COHESION FREIGHT (HK) LIMITED,COHESION FREIGHT (HK) LIMITED
EUMEX LINE SHENZHEN LIMITED,EUMEX LINE SHENZHEN LIMITED
T H I LOGISTICS CO LTD,T H I LOGISTICS CO LTD
SAFROUND LOGISTICS CO LTD,SAFROUND LOGISTICS CO LTD
KOUSA INTL LOGISTICS CO LTD,KOUSA INTL LOGISTICS CO LTD
WORLDTRANS LOGISTICS SERVICES LIMITED,WORLDTRANS LOGISTICS SERVICES LIMITED
LAUFER GROUP INTERNATIONAL LTD,LAUFER GROUP INTERNATIONAL LTD
SPA INTERNATIONAL INC,SPA INTERNATIONAL INC
RITIME GROUP INC,RITIME GROUP INC
KCC TRANSPORT SYSTEMS INC,KCC TRANSPORT SYSTEMS INC
VILDEN GLOBAL TRADE SOLUTIONS SDN BHD,VILDEN GLOBAL TRADE SOLUTIONS SDN BHD
WEIDA FREIGHT SYSTEM CO LTD,WEIDA FREIGHT SYSTEM CO LTD
EURASIA EXPRESS,EURASIA EXPRESS
DT LOGISTICS (HK) LTD,DT LOGISTICS (HK) LTD
YOUNG-KO TRANS CO LTD,YOUNG-KO TRANS CO LTD
"CHINA NAVIGATION CO PTE LTD, THE","CHINA NAVIGATION CO PTE LTD, THE"
JAMES FORWARDING CORP,JAMES FORWARDING CORP
DELTRANS INTERNATIONAL SHIPPING CORPORATION,DELTRANS INTERNATIONAL SHIPPING CORPORATION
KAY ONEILL (USA) LLC,KAY ONEILL (USA) LLC
WORLD COMMERCE SERVICES LLC,WORLD COMMERCE FORWARDING INC
WHM CUSTOM SERVICES INC,WHM CUSTOM SERVICES INC
ICEPAK INC,ICEPAK INC
"BALGUERIE, ALFRED S A-TRANSO","BALGUERIE, ALFRED S A-TRANSO"
MULTIMODAL,MULTIMODAL
FPS LOGISTIC (USA) INC,FPS LOGISTIC (USA) INC
SPEEDMARK TRANSPORTATION LTD (HONG KONG),SPEEDMARK TRANSPORTATION LTD (HONG KONG)
SAFEWATER LINES (INDIA) PRIVATE LIMITED,SAFEWATER LINES (INDIA) PRIVATE LIMITED
CLEVE & ZONEN B V,CLEVE & ZONEN B V
MAXPEED CO LTD,MAXPEED CO LTD
UNIQUE LOGISTICS INTERNATIONAL (H K) LTD,UNIQUE LOGISTICS INTERNATIONAL (H K) LTD
CARGOZONE LOGISTICS INC,CARGOZONE LOGISTICS INC
CN WORLDWIDE,CN WORLDWIDE
UNITED CARGO MANAGEMENT INC,UNITED CARGO LINES
ALASKA MARINE LINES,ALASKA MARINE LINES
SEASPAN ULC,SEASPAN ULC
MERIDIAN LINE,MERIDIAN LINE
I T N CONSOLIDATORS INC,I T N CONSOLIDATORS INC
ONEGO SHIPPING AND CHARTERING B V,ONEGO SHIPPING AND CHARTERING B V
SPLIETHOFF TRANSPORT B V,SPLIETHOFF TRANSPORT B V
INTERSEE SCHIFFAHRTSGESELLSCHAFT MBH & CO KG,INTERSEE SCHIFFAHRTSGESELLSCHAFT MBH & CO KG
BBC CHARTERING & LOGISTIC GMBH & CO KG,BBC CHARTERING & LOGISTIC GMBH & CO KG
CLIPPER STEEL SERVICES LTD,CLIPPER STEEL SERVICES LTD
CLIPPER BULK SHIPPING LTD,CLIPPER BULK SHIPPING LTD
PAN OCEAN CO LTD,PAN OCEAN CO LTD
STARLINE CARRIERS LLC,STARLINE CARRIERS LLC
SAR TRANSPORT SYSTEMS PRIVATE LIMITED,SAR TRANSPORT SYSTEMS PRIVATE LIMITED
SAMSKIP ICEPAK LOGISTICS INC,SAMSKIP ICEPAK LOGISTICS INC
JARRIT SHIPPING CORP,JARRIT SHIPPING CORP
DOWA LINE AMERICA CO LTD,DOWA LINE AMERICA CO LTD
LAURITZEN BULKERS A/S,LAURITZEN BULKERS A/S
UNITED BULK CARRIERS (USA),UNITED BULK CARRIERS (USA)
GLOBERUNNERS INCORPORATED,GLOBERUNNERS INCORPORATED
AMERASIA SHIPPING LINE,AMERASIA SHIPPING LINE
DYNA LOGISTICS INC,DYNA LOGISTICS INC
AIR TIGER EXPRESS (ASIA) INC,AIR TIGER EXPRESS (ASIA) INC
MITSUBISHI LOGISTICS AMERICA CORPORATION,MITSUBISHI LOGISTICS AMERICA CORPORATION
ACE QUANTUM CHEMICAL TANKERS CV,ACE QUANTUM CHEMICAL TANKERS CV
INDEPENDENT CONTAINER LINE LTD,INDEPENDENT CONTAINER LINE LTD
U S EXPRESS LINE,U S EXPRESS LINE
CHEM FLEET,CHEM FLEET
